CNJ,NATURE,SUBJECT,IsCriminal,JusticeSegmentVerifier,NatureVerifier,NatureVerifier2,SubjectVerifier,IsCriminalVerifier
5021862-55.2021.4.04.0000,Habeas Corpus,"1. Contrabando (art. 334-A), Crimes praticados por particular contra a Administração em geral, DIREITO PENAL",TRUE,ok,ok,ok,ok,true
0793444-53.2016.8.13.0000,RECURSO EM HABEAS CORPUS,"DIREITO PENAL, Crimes Previstos na Legislação Extravagante, Crimes de Tráfico Ilícito e Uso Indevido de Drogas, Tráfico de Drogas e Condutas Afins",TRUE,ok,ok,ok,ok,true
5492322-40.2019.8.09.0051,PROCESSO CÍVEL E DO TRABALHO -> Outros Procedimentos -> Requerimento de Apreensão de Veículo,DIREITO CIVIL -> Obrigações -> Espécies de Contratos -> Alienação Fiduciária - Decreto-Lei nº 911/69 e Lei Federal nº 9514/97;,FALSE,ok,no,no,no,false
0000280-92.2020.8.26.0996,Agravo de Execução Penal,Regime Inicial - Fechado,TRUE,ok,ok,ok,ok,true
0068421-71.2019.8.21.7000,apelacao,alienacao fiduciaria,FALSE,ok,ok,no,no,false
0002598-55.2016.4.01.3312,APCRIM - Apelação Criminal,DIREITO PENAL (287) - Crimes contra a F Pública (3523) - Uso de documento falso (3539,TRUE,ok,ok,ok,ok,true
8000712-40.2019.8.05.0237,GUARDA,,FALSE,ok,ok,no,vazio,false
0600156-19.2020.6.06.0112,REGISTRO DE CANDIDATURA,DIREITO ELEITORAL (11428) - Eleições (11583) - Candidatos (11584) - Registro de Candidatura (11615) - Registro de Candidatura - RRC - Candidato (11618 DIREITO ELEITORAL (11428) - Eleições (11583) - Cargos (11628) - Cargo - Vereador (11638,FALSE,no,ok,no,no,false
0045600-06.2006.5.08.0125,RECLAMAÇÃO  ESCRITA,,FALSE,no,ok,no,vazio,false
5006188-44.2022.8.13.0056,[CÍVEL] PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL,Inclusão Indevida em Cadastro de Inadimplentes (6226),FALSE,ok,no,no,no,false
5077379-69.2020.8.21.0001,PROCEDIMENTO COMUM CÍVEL -  Cível - Geral (Poa),"Acidente de trânsito, Indenização por dano material, Responsabilidade civil, DIREITO CIVIL",FALSE,ok,no,no,no,false
5022553-26.2018.4.04.7000,CARTA PRECATÓRIA,"Corrupção ativa (art. 333), Crimes praticados por particular contra a Administração em geral, DIREITO PENAL",TRUE,ok,ok,no,ok,true
1003489-55.2017.8.11.0000,HABEAS CORPUS CRIMINAL (307),"Receptação (3435)
Liberdade Provisória (7928)
Habeas Corpus - Cabimento (10891)",TRUE,ok,ok,ok,ok,true
0003593-59.2018.8.26.0502,Execução Provisória,Regime Inicial - Fechado,TRUE,ok,ok,no,ok,true
0057616-87.2015.8.16.0000,Habeas Corpus Crime,,TRUE,ok,ok,ok,vazio,true
0012700-64.2010.8.26.0161,Depósito,Depósito,FALSE,ok,ok,no,no,false
0011032-79.2017.5.03.0007,CartPrecCiv,Oitiva,FALSE,no,ok,no,ok,false
0011032-79.2017.5.03.0007,CartPrecCiv,Oitiva,FALSE,no,ok,no,ok,false
1002173-81.2020.4.01.3502,AÇÃO PENAL - PROCEDIMENTO ORDINÁRIO,DIREITO PENAL (287) - Crimes Previstos na Legislação Extravagante (3603) - Crimes contra o Meio Ambiente e o Patrimônio Genético (3618) - Crimes contra a Flora (3620,TRUE,ok,ok,ok,ok,true
1014982-48.2019.8.26.0224,Monitória,Transporte de Coisas,FALSE,ok,ok,no,no,false
0004239-47.1999.4.01.4000,7 - Procedimento Comum Cível,10159 - Atualização de Conta,FALSE,ok,no,no,no,false
0001902-88.2013.8.26.0177,Busca e Apreensão,Liminar,FALSE,ok,ok,no,no,false
0002331-38.2011.4.01.3804,436 - Procedimento do Juizado Especial Cível,6104 - Pensão por Morte Art 749,FALSE,ok,no,no,no,false
5014195-25.2021.8.24.0033,CUMPRIMENTO DE SENTENÇA -  Juizado Especial Cível,,FALSE,ok,no,no,vazio,false
0044034-04.2018.8.19.0203,Medidas Protetivas de urgência (Lei Maria da Penha),,FALSE,ok,ok,ok,vazio,true
5008814-48.2016.4.04.7002,CARTA PRECATÓRIA - CEMAN,"Descaminho (art. 334), Crimes praticados por particular contra a Administração em geral, DIREITO PENAL",TRUE,ok,ok,no,ok,true
0011924-79.2011.8.21.0028,procedimento especial de jurisdição contenciosa,ação monitória    -,FALSE,ok,ok,ok,no,true
0016688-69.2013.8.16.0031,- Execução de Título Extrajudicial,9607 - Contratos Bancários,FALSE,ok,ok,no,no,false
0001367-88.2017.8.27.2733,Homologação de Transação Extrajudicial,"Cobrança, Inadimplemento, Obrigações, DIREITO CIVIL",FALSE,ok,ok,no,no,false
5008190-17.2021.4.04.7004,CARTA PRECATÓRIA - CEMAN,"1. Descaminho (art. 334), Crimes praticados por particular contra a Administração em geral, DIREITO PENAL",TRUE,ok,ok,no,ok,true
5000258-74.2022.8.13.0693,[CRIMINAL] CARTA PRECATÓRIA CRIMINAL,Intimação (11782) Audiência no Deprecante (50001),TRUE,ok,ok,ok,no,true
9001753-07.2016.8.21.0036,procedimento do juizado especial cível,indenização por dano moral :: competência do juizado especial cível,FALSE,ok,no,no,no,false
0074232-67.2007.8.13.0335,Procedimento Especial da Lei Antitóxicos,Crimes de Tráfico Ilícito e Uso Indevido de Drogas < Crimes Previstos na Legislação Extravagante < DIREITO PENAL,TRUE,ok,ok,ok,ok,true
0009698-83.2022.8.16.0019,- Execução de Título Extrajudicial,Duplicata,FALSE,ok,ok,no,no,false
8000706-27.2019.8.05.0239,REMOÇÃO DE INVENTARIANTE,,FALSE,ok,ok,no,vazio,false
1001698-03.2017.4.01.3900,AÇÃO CIVIL DE IMPROBIDADE ADMINISTRATIVA,DIREITO ADMINISTRATIVO E OUTRAS MATRIAS DE DIREITO PÚBLICO (9985) - Atos Administrativos (9997) - Improbidade Administrativa (10011) - Enriquecimento ilícito (10013,FALSE,ok,ok,no,no,false
0223300-32.2009.5.01.0521,Petição Cível,Acidente de Trabalho,FALSE,no,no,no,no,false
0001437-48.2018.4.03.6104,INQUÉRITO POLICIAL,Tráfico de Drogas e Condutas Afins,TRUE,ok,ok,ok,ok,true
0019085-24.2004.8.26.0004,Reintegração / Manutenção de Posse,Posse,FALSE,ok,ok,no,no,false
5003458-14.2017.4.04.7204,Cumprimento de Sentença contra a Fazenda Pública,"Direito de imagem, Indenização por dano moral, Responsabilidade civil, DIREITO CIVIL",FALSE,ok,ok,no,no,false
0019714-02.2018.8.16.0031,- Pedido de Providências,11847 - Assistência Social,FALSE,ok,ok,no,no,false
0003903-70.2017.4.03.6000,60 . CARTA PRECATORIA,"CRIMES DE LAVAGEM OU OCULTACAO DE BENS, DIREITOS OU VALORES (LEI 9.613/98) - CRIMES PREVISTOS NA LEGISLACAO EXTRAVAGANTE - DIREITO PENAL",TRUE,ok,ok,no,ok,true
0001476-45.2018.4.03.6201,1 (CNJ 436) - PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL,"040105 - AUXÍLIO-DOENÇA (ART. 59/64) - BENEF. EM ESPÉCIE/CONCESSÃO/CONVERSÃO/RESTABELECIMENTO/COMPLEMENTAÇÃO, 6101 - DIREITO PREVIDENCIÁRIO - BENEFÍCIOS EM ESPÉCIE - AUXÍLIO-DOENÇA PREVIDENCIÁRIO",FALSE,ok,no,no,no,false
4001817-95.2013.8.26.0577,Embargos à Execução,"Valor da Execução / Cálculo / Atualização, Efeito Suspensivo / Impugnação / Embargos à Execução",FALSE,ok,ok,no,no,false
5009760-32.2020.8.24.0004,TERMO CIRCUNSTANCIADO -  Juizado Especial Criminal,,TRUE,ok,ok,ok,vazio,true
1003803-98.2020.8.26.0510,Petição Criminal,Petição intermediária,TRUE,ok,ok,ok,no,true
0011065-14.2019.5.15.0024,AIRR,,FALSE,no,ok,no,vazio,false
0007776-13.2016.8.12.0800,Auto de Prisão em Flagrante,Ameaça,TRUE,ok,ok,ok,ok,true
0000521-16.2022.8.05.0112,REPRESENTAÇÃO CRIMINAL,Ameaça  / Crimes contra a liberdade pessoal / DIREITO PENAL,TRUE,ok,ok,ok,ok,true
1001449-23.2019.8.11.0003,CARTA PRECATÓRIA CÍVEL (261),Atos executórios (11786),FALSE,ok,no,no,ok,true
0122363-38.2013.8.26.0000,Ação Rescisória,DIREITO DO TRABALHO - Responsabilidade Civil do Empregador - Indenização por Dano Material - Acidente de Trabalho,FALSE,ok,ok,no,no,false
0001014-82.2019.8.17.8221,PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL (436),Prestação de Serviços (9596),FALSE,ok,no,no,no,false
0014060-59.2019.8.16.0173,- Carta Precatória Cível,10938 - Citação,FALSE,ok,no,no,no,false
5017891-45.2020.8.24.0020,Guarda de Família -  Família - Geral,,FALSE,ok,ok,no,vazio,false
0002863-21.2017.8.16.0095,- Cumprimento de sentença,7691 - Inadimplemento,FALSE,ok,ok,no,no,false
5010035-58.2019.4.04.7003,PEDIDO DE LIBERDADE PROVISÓRIA COM OU SEM FIANÇA,"Contrabando (art. 334-A), Crimes praticados por particular contra a Administração em geral, DIREITO PENAL",TRUE,ok,ok,ok,ok,true
1001216-90.2016.5.02.0501,Recurso Ordinário Trabalhista,Acidente de Trabalho,FALSE,no,ok,no,no,false
1001216-90.2016.5.02.0501,Recurso Ordinário Trabalhista,Acidente de Trabalho,FALSE,no,ok,no,no,false
0009010-61.2014.8.26.0266,Carta Precatória Infracional,Citação,TRUE,ok,ok,no,no,false
0092591-97.2014.8.13.0148,Procedimento Ordinário,CIVIL > Obrigações > Inadimplemento > Rescisão / Resolução,FALSE,ok,ok,no,no,false
5002753-36.2019.4.04.7110,EXECUÇÃO PENAL,"Execução Penal e de Medidas Alternativas, DIREITO PROCESSUAL PENAL",TRUE,ok,ok,ok,ok,true
0001142-16.2018.8.16.0122,- Execução da Pena,7791 - Pena Privativa de Liberdade,FALSE,ok,ok,ok,ok,true
0001084-49.2011.4.01.3601,PROCEDIMENTO ESPECIAL DA LEI ANTITÓXICOS,DIREITO PENAL (287) - Crimes Previstos na Legislação Extravagante (3603) - Crimes de Tráfico Ilícito e Uso Indevido de Drogas (3607) - Tráfico de Drogas e Condutas Afins (3608,TRUE,ok,ok,ok,ok,true
