CNJ,NATURE,SUBJECT,IsCriminal,JusticeSegmentVerifier,NatureVerifier,NatureVerifier2,SubjectVerifier,IsCriminalVerifier
5001816-45.2022.8.13.0414,[CRIMINAL] TERMO CIRCUNSTANCIADO,DIREITO PENAL (287) - Crimes Previstos na Legislação Extravagante (3603) - Crimes de Tráfico Ilícito e Uso Indevido de Drogas (3607) - Posse de Drogas para Consumo Pessoal (5885,TRUE,ok,ok,ok,ok,true
0003919-97.2012.4.03.6000,120 . INQUERITO POLICIAL,USO DE DOCUMENTO FALSO (ART. 3O4) - CRIMES CONTRA A FE PUBLICA - DIREITO PENAL,TRUE,ok,ok,ok,ok,true
1009184-28.2021.8.26.0292,Execução de Pena de Multa,Pena de Multa,FALSE,ok,ok,ok,ok,true
0001619-90.2018.8.06.0001,Transferência entre estabelecimentos penais,Transferência de Preso,TRUE,ok,ok,ok,ok,true
0002719-54.2022.8.08.0011,INQUÉRITO POLICIAL,,TRUE,ok,ok,ok,vazio,true
0023750-26.2018.8.16.0019,Ação Penal - Procedimento Sumário,Violência Doméstica Contra a Mulher - VIAS DE FATO,TRUE,ok,ok,ok,ok,true
0026999-87.2015.8.16.0019,- Transferência entre estabelecimentos penais,50004 - Inspeção em Estabelecimento Penal,TRUE,ok,ok,ok,ok,true
0003210-68.2017.4.03.6103,. CARTA PRECATORIA,CARTAS PRECATORIA/ROGATORIA/ORDEM - CRIMINAL,TRUE,ok,ok,no,ok,true
5000560-57.2022.8.21.0119,Ação Penal - Procedimento Sumaríssimo,"Posse de Drogas para Consumo Pessoal (Lei 11.343/06, art. 28), Crimes de Tráfico Ilícito e Uso Indevido de Drogas (Lei 11.343/06), Crimes Previstos na Legislação Extravagante, DIREITO PENAL",TRUE,ok,ok,ok,ok,true
0011322-22.2018.8.26.0152,Carta Precatória CriminalCarta Precatória Criminal,Interrogatório,TRUE,ok,ok,ok,ok,true
0001778-54.2014.4.02.5001,Ação Penal,Contrabando ou descaminho,TRUE,ok,ok,ok,ok,true
7003081-84.2021.8.22.0009,INQUÉRITO POLICIAL,DIREITO PROCESSUAL PENAL (1209) - Investigação Penal (10604) - Trancamento (10610,TRUE,ok,ok,ok,ok,true
5000352-15.2010.4.04.7002,INQUÉRITO POLICIAL,"Contrabando (art. 334-A), Crimes praticados por particular contra a Administração em geral, DIREITO PENAL",TRUE,ok,ok,ok,ok,true
5003875-11.2019.4.03.6141,CARTA DE ORDEM CRIMINAL (335),Diligências (11785),TRUE,ok,ok,ok,no,true
5002060-35.2022.4.04.7114,CARTA PRECATÓRIA - CEMAN,"Uso de documento falso (art. 304), Crimes contra a Fé Pública, DIREITO PENAL",TRUE,ok,ok,no,ok,true
0011674-70.2020.8.08.0035,Violência Doméstica - Lei Maria da Penha,Medidas Protetivas de urgência (Lei Maria da Penha) Criminal,TRUE,ok,ok,ok,ok,true
0008796-98.2013.8.11.0015,Execução Criminal,GUIA EXTRAÍDA DOS PROCESSO CRIMINAL Nº 1153-72.2011.811.0108 - CÓDIGO 26549 - DA VARA ÚNICA DA COMARCA DE TAPURAH - MT,TRUE,ok,ok,ok,ok,true
0000792-24.2017.8.25.0086,Processo Administrativo,DIREITO PROCESSUAL PENAL - Execução Penal - Processo Administrativo em Execução Penal - Assistência - Assistência à Saúde - Atendimento Médico -,TRUE,ok,ok,no,ok,true
0707861-52.2018.8.07.0015,CARTA PRECATÓRIA CÍVEL (261),Atos executórios (11786),FALSE,ok,no,no,ok,true
0006771-59.2020.8.22.0501,Carta Precatória (Criminal),,TRUE,ok,ok,ok,vazio,true
5003855-81.2019.4.04.7114,CARTA PRECATÓRIA - CEMAN,Moeda Falsa / Assimilados (arts. 289 e parágrafos e 290) - Crimes contra a Fé Pública - Direito Penal,TRUE,ok,ok,no,ok,true
0005621-65.2021.8.26.0996,Agravo de Execução Penal,Regime Inicial - Fechado,TRUE,ok,ok,ok,ok,true
0005621-65.2021.8.26.0996,Agravo de Execução Penal,Regime Inicial - Fechado,TRUE,ok,ok,ok,ok,true
